,Tweet
0,"@GovtofPakistan Must hai yeh, get data from BB Income support program and also Sehat Card and then distribute not only atta but also monthly rashans,  if u do good , good will repay u all inck PTI Log jo kar saktey hein, the nation and its people need stability and good measures"
1,@tarique_mehmood @murtazawahab1 Sehat card scheme is much better than this.
2,"@AimalWali We are much satisfied by our kpk healthcare system,And Sehat card is no doubt proved a blessing for poor and needy."
3,@hinaparvezbutt O zehni mareez illaj kerwao jaa k. Paisay nhi ha toh sehat card use kero but plz kerwao
4,"@elonmusk @PeterDiamandis U don't need ""Sehat card "" Health card in hospital...
Money is wot money does 🤑💰"
5,@AsadAToor @Jhagra He is the most corrupt person in KP history he sold govt hospitals to a medical representative and get kick backs in billions you must a vlog on that scam along with sehat card scam
6,Toor Sb first ask jhagra regarding corruption in sehat card in kpk.i really feel shameful that jhagra type people r also our leaders...
7,@alizeeshan1214 @AbdulKhalidPTI Sehat card GB m is waqat chalo hai
8,"@AsadAToor @Jhagra He is the most worst ever. 
They made a slogan that imported government is Namnzoor,but he was working for NS burki agenda, to destroy KP health system, 
He did mega Corruption in Sehat card and health department."
9,#phimcpk #SehatCard #punjab #lahore #Rawalpindi #Faisalabad #multan #DGKhan #Sahiwal #bahawalpur #Gujranwala #Sargodha #healthcards https://t.co/sSqAB1lLcd
10,@SaniaaAshiq Kaun ? Jo attay main bhoosa mila k de rha hai ? 10 lac ka sehat card bannd kr k jiss ny 10 kilo atay pa laga dia woh ?
11,"Sehat card is not an insurance/Takaful product… it’s just a fund which was given by the PTI government to state life which does not underwrite health insurance. 😐 

@PTIofficial should’ve just invested this amount in the public sector hospitals if they had any long term plans"
12,"Sub sy ch**** kaam Jo PTI ny kia wo SSP hy.

BC , jb sehat card bn gaya hy tou hr investigation k liye pehly token lgwao phir online krao DMS k sign krao wali kya yakki hy!!!

#phuckSSP"
13,Cons of sehat card. Literally zero medicine in government hospitals.
14,@DrAli_yousafzai @iamshafaatali Nahi Sir aur mera bhatija hy moosa aur iski already surgery hoi thi jb ye 5months ka tha aur ab iski dobara surgery horai hy aur same doctor se he krwani paregi and the institute dont accept sehat card.... rest is available in post
15,"@DrMuneerHassan @KPChiefMinister @ydakp_official @YDAKPK1 @punjab_yda @MYusufzai @DrAdnankhanYDA @YDA_HMC @yda_kth @GrandKpk Good job sir. 👍 
I think MTI and sehat card are not bad initiatives.
Could be better/Apolitical/transparent - No doubt."
16,#phimcpk #SehatCard #punjab #lahore #Rawalpindi #Faisalabad #multan #DGKhan #Sahiwal #bahawalpur #Gujranwala #Sargodha #healthcards https://t.co/6boBxHxeYe
17,@najamwalikhan Munafqat. Sehat card py rola dala hwa tha aur ab logo ko bhikari bna DIA roti ky liye
18,"@theycallmekazi He got played by ""them"" and he realized it after being ousted.
Insafians used to tell that with absolute majority Khan will do wonders so till then enjoy sehat card and langars"
19,"@mobeen_hameed @not_ghuf The political dynasts want this money for their lavish expenses, protocols, privileges etc. &amp; had Sehat Card abolished to get that money diverted towards them.

If billions can be given to media houses for bribes (fake ads), Sehat Card can also be sustainable."
20,@kamran_imam @not_ghuf @mobeen_hameed Sehat Card was a good way to divert funds for a good cause but the elite want to use it for themselves. There is always budget for their adventures but nothing for people.
21,@not_ghuf @mobeen_hameed The issue with price caps was also that the gov had no negotiation power. Hospitals could just blackmail the government to either raise the price cap or they won't accept sehat card. That's what you get when you privatize a necessary service to an oligopolist market ...
22,"@muteebsiddiqui_ Bhai ma yh kh rha hn k insaf sehat card k phly phase ma sb families include nhi thin 2nd ma hui thi, 
Lkn asal point h k sehat card PML-N ka initiative tha jisy IK ne just rebrand kr k apna btya, same goes for e-learn punjab by CM Shehbaz jisy IK ne rebrand kr k insaf academy kia"
23,"In case of any guidance or Complaints regarding the SEHAT CARD, please contact the TOLL-FREE Number 0800-09009.

#phimcpk #SehatCard https://t.co/nVjhYDUrDA"
24,"@not_ghuf @noirroad @mobeen_hameed So BBZ’s useless internship as FM isn’t costing us few billion monthly? Feds blocked funds for Sehat Card but kept imports of bullet proof BMWs open. Simple reallocation of funds can sustain the program, not to deny improvements in revenue generation and program itself."
25,Sehat card....
26,"BMW E36 318i M43B18 1996
Manual
Interior original Fabric
HU Becker Gran Prix + Code Card
Interior Fabric Originial
STNK BPKB Faktur lgkp off 2021
No Malfunction
Mesin Sehat
AC dingin
Electrical Normal
Kaca dpn retak ga rembes (cek foto)
50jt Nego
Wa : 081293930825
Lok. Ciputat https://t.co/gWWQlfMWrO"
27,@sqar_89 @Non_graata @reema_omer I'll take that as a no. I get it. They were too busy to pay you attention. Maybe the sehat card can help you. Good luck. Muted.
28,@rogueonomist @ahmedikram_ Many private hospitals had doubled their service price for the Sehat card simply because SLIC could not pay them. Many had stopped entertaining after a few months.
29,"صحت کارڈ کے حوالے سے تمام تر معلومات، اپنی اہلیت اور ہسپتالوں کی تفصیلات وغیرہ جاننے کے لیے ""صحت کارڈ"" کی ایپ ڈاؤن لوڈ کریں۔

Android: https://t.co/hSlISayDZB
iOS: https://t.co/JKVxtDUo9C

#phimcpk #SehatCard https://t.co/uZ0umpo3rT"
30,Pervaiz Illahi v Fawad | Sehat Card | Restaurant Timing | Mahozariyan - ... https://t.co/hQfq76TI7M via @YouTube
31,"@not_ghuf Sehat card was excellent initiative 
It had its drawbacks ngl but it helped both sides (doctors and patients)
But it failed to implement the US and UK model
Both require a certain amount to be paid for the insurance out of the persons pocket/month"
32,@SindhiDoctrine @Ghummans Zrdari k paltu wha PTI ke jb hakumat ti to logo ko sehat card py free treatment mil rhe ti aise kutto k jise nh bhagna par rha ta
33,"𝗦𝗠𝗦 𝘆𝗼𝘂𝗿 𝗻𝗮𝘁𝗶𝗼𝗻𝗮𝗹 𝗶𝗱𝗲𝗻𝘁𝗶𝘁𝘆 𝗰𝗮𝗿𝗱 𝗻𝘂𝗺𝗯𝗲𝗿 𝘁𝗼 𝟴𝟱𝟬𝟬 𝗮𝗻𝗱 𝗰𝗵𝗲𝗰𝗸 𝘆𝗼𝘂𝗿 𝗲𝗹𝗶𝗴𝗶𝗯𝗶𝗹𝗶𝘁𝘆 𝙛𝙤𝙧 𝑺𝒆𝒉𝒂𝒕 𝗰𝗮𝗿𝗱 .

#phimcpk #SehatCard https://t.co/tEEFOwHQgC"
34,@rumshum12 Yup shittest bcoz aam admi ko sehat card mil raha tha aam admi k bachay ko ameeroun k bachoun wala nasab mil raha tha bhookun ko khana mil raha tha yehe tou hum nhe chahtay k koi gareeb kal ko perh kar humeray barabar ajae  Buhat galat hai hum ameer paida huway humera haq hai sb
35,@iamshafaatali Doesn’t he  have the option of Sehat Insaf Card?
36,"@mobeen_hameed @not_ghuf Sehat Card is unsustainable due to some billions whereas similar billions are spent on merely the protocol of Maryam and Bilawal.

With proper tax collection and gradual improvement in Sehat Card processes, it can be a very efficient program."
37,Murshid Hospital is Offering Free Treatment for all the citizens who are eligible for Sehat Sahulat Card. https://t.co/aBxTW2B3Kn
38,"@SyedKamran_ Maza aa gya aap ki post prh k... 
Yehi manna mera bhi hy... 
Jis ki wjha sy aksr dosto sy sakht kalami bhi hoti hy... 
Sehat Card free aata 12000 ya 2000 jitna bhi aise dyna hy wo najaiz hy or ek trha sy rishwat hy awam ko vote k bdly."
39,Sb isski butti bna ke lay lo. Barra shouq tha na sehat card ka lukh di laanat hai tumhari aqloun pe doob marro 🤦🏻‍♂️
40,"صحت کارڈ کے تحت علاج کی بلا تعطل اور بر وقت فراہمی کے لئے خاندان کے تمام افراد کے کوائف کانادرامیں درست اور مکمل اندراج ضروری ہے۔

#phimcpk #SehatCard https://t.co/i7iGek1GIb"
41,"@Karachi__Wali G g pathar ka dil hy isi liye gharib ki fikar mein rehta hy or sehat card dia sb ko
Or iIsi liye cancer hospital bna diya gharib k liye
Isi liye takkar ly li iss  sy 

Naram dil hota to teri tarah gharib k khun paseeny ki kamayi loot k UK mein jaidaadein bnata"
42,ایسی شاندار سہولت صرف مریم نواز(@MaryamNSharif ) کی خواہش یا  بغض عمران (@ImranKhanPTI ) میں بند کرنا صرف اور صرف عوام دشمنی ہے اور کچھ نہیں جو حکومت بھی ایسا کرے گی وہ اپنی سیاسی قبر خود کھود لے گی #PTI #PMLN  #sehatcard #NationSupportsCJP #NationStandswithCJP… https://t.co/dZLL9mBJbv
43,"@ahmedikram_ @ZarakZia It was not unsustainable with proper tax collection and utilization. If billions can be spent on Bilawal's trips and protocols of Maryam Nawaz, money can also come out for Sehat Card."
44,"BMW E36 318i M43B18 1996
Transmisi Manual
Interior original Fabric
Warna Silver
HU Becker Gran Prix + Code Card
Interior Fabric Originial
Dokumen STNK, BPKB, Faktur lengkap
No Malfunction
Mesin Sehat No Rembes
AC dingin
Electrical Normal
Plat B (Jaktim) https://t.co/aydZ9Wyx3W"
45,"@umarsaif Being politicized, Maryam Nawaz audio leak is very clear that Sehat Card should be stopped and they can make excuses for funds. 

Knowing the fact still you're trying to twist and believe we should respect you? At least, you should be honest with yourself!"
46,"آپ کا قومی شناختی کارڈ ہی آپ کا صحت کارڈ ہے تاہم یہ سہولت خاندان کے سربراہ کے قومی شناختی کارڈ پر دستیاب ہوگی، جس کے تحت خاندان کا سربراہ، اسکی شریکِ حیات اور غیر شادی شدہ بچے،منتخب سرکاری و نجی ہسپتالوں میں داخلے کی صورت میں،علاج کی سہولت حاصل کر سکتے ہیں۔

#phimcpk #SehatCard https://t.co/EXVxqaV2hf"
47,@dr_aliyaa @ImranKhanPTI Kpk mai to abi b sehat card chal raha hai punjab mai nhi hai kia??
48,"State Life Insurance has hinted at the closure of the Sehat Sahulat Programme in Punjab due to the non-payment of pending liabilities to the tune of Rs83bn.

#Sehatcard 

https://t.co/qmCd58ec8k"
49,@Sehban @rogueonomist @dkkakar Cancer treatment on Sehat Card is only available at Pakistan Atomic Commission Hospitals. At least that is how it is in KP.
50,This will be the day all Youthiyas start calling Sehat Card an initiative of PML N
51,"Sehat Card was always going to be unsustainable for the simple reason that it subsidizes demand for private healthcare without any checks on that sector's pricing.
Those of us who warned about it were told we're just biased against PTI initiatives."
