,price,location,beds,baths,area,title,created_at
0,11.75 Crore,"DHA Phase 6, DHA Defence",5,6,1 Kanal,1-Kanal Brand New Modern Most Luxurious Fully Furnished bungalow with Swimming Pool for Sale at DHA Lahore,Added: 12 minutes ago
1,35 Crore,"DHA Phase 6, DHA Defence",5,6,2 Kanal,2-kanal Brand New Facing Park Most Luxurious Fully Furnished Ultra-modern Bungalow With Swimming Pool For Sale At Dha Phase 6 Lahore,Added: 12 minutes ago
2,65 Crore,"DHA Phase 7, DHA Defence",5,6,5 Kanal,5 Kanal Fully Furnished Brand New Classical Spanish Design Bungalow Available For Sale Dha Phase 7,Added: 22 minutes ago
3,7.12 Crore,"DHA Phase 6, DHA Defence",5,6,1 Kanal,Magnificent 1 Kanal Ultra spainsh Brand New Luxury banglow For Sale,Added: 34 minutes ago
4,2.05 Crore,"DHA 9 Town, DHA Defence",3,4,5 Marla,Corner House For Sale In Dha Lahore Near To Park And Main 120ft Road,Added: 49 minutes ago
5,4 Crore,"DHA Phase 2, DHA Defence",4,4,10 Marla,10 Mrla semi furnished Stylish Bungalow with solar system,Added: 41 minutes ago
6,1.6 Crore,"Low Cost - Block C, Low Cost Sector",3,4,5 Marla,5 Marla Brand New House For Sale in C Block Bahria Orchard Lahore Near park,Added: 54 minutes ago
7,1.45 Crore,"Bahria Orchard, Lahore",3,4,5 Marla,Bahria Orchard phase2 5 marla brand new house for sale,Added: 57 minutes ago
8,10.5 Crore,"DHA Phase 7 - Block R, DHA Phase 7",5,6,1 Kanal,Ultra Modern House For Sale In Heart Of DHA,Added: 57 minutes ago
9,82 Lakh,"Bahria Orchard, Lahore",3,4,5 Marla,5 Marla House For Sale Bahria Orchard Lahore Low Cost Safari Homes,Added: 59 minutes ago
10,5.75 Crore,"DHA Phase 8, DHA Defence",4,5,10 Marla,10 Marla Slightly Used Hot Location Beautifully Designed Modern House for Sale DHA Phase 8,Added: 4 minutes ago
11,3 Crore,"Formanites Housing Scheme, Lahore",5,6,10 Marla,10 Marla Brand New Modren Design House Available For Sale in Formanites Housing Scheme,Added: 9 minutes ago
12,4.6 Crore,"State Life Phase 1 - Block E, State Life Housing Phase 1",5,5,10 Marla,House Of 10 Marla In State Life Phase 1 - Block E For sale,Added: 3 minutes ago
13,5.65 Crore,"DHA Phase 5, DHA Defence",4,5,8 Marla,8 Marla 4 Bedrooms House Is For Sale In Phase 5 Dha Lahore,Added: 15 minutes ago
14,7.65 Crore,"DHA Phase 6, DHA Defence",5,6,1 Kanal,1 Kanal Owner Built Solid Construction Master Peace Of Beauty House For Sale,Added: 16 minutes ago
15,4.5 Crore,"Bankers Avenue Cooperative Housing Society, Lahore",5,6,1 Kanal,1 kanal Spanish Beautiful house for Sale,Added: 20 minutes ago
16,2.7 Crore,"Bankers Avenue Cooperative Housing Society, Lahore",5,6,10 Marla,10 Marla brand new house for Sale,Added: 20 minutes ago
17,1.4 Crore,"Johar Town, Lahore",3,3,3 Marla,3 Marla House Available For Sale In Johar Town Wafaqi Colony,Added: 1 minute ago
18,2.4 Crore,"Lake City - Sector M7 - Block C, Lake City - Sector M-7",4,5,5 Marla,Buy 5 Marla House Is Available In M7-c,Added: 1 minute ago
19,2.25 Crore,"Lake City - Sector M-7B, Lake City",4,5,5 Marla,Buy a Beautiful 5 Marla House in M7-B - Lake City,Added: 1 minute ago
20,4 Crore,"Lake City - Sector M-3 Extension, Lake City",5,6,10 Marla,Beautiful 10 Marla House for Sale in Lake City M3-Extension!,Added: 1 minute ago
21,1.68 Crore,"State Life Housing Society, Lahore",3,4,5 Marla,5 Marla Slightly Used Owner Build House For Sale In State Life Housing Society,Added: 2 minutes ago
22,1.7 Crore,"State Life Housing Society, Lahore",3,4,5 Marla,5 Marla House Is Available For Sale In State Life Housing Society Phase 1 Bock A Lahore,Added: 2 minutes ago
23,1.72 Crore,"State Life Housing Society, Lahore",3,4,5 Marla,5 Marla Owner Build Slightly Use House For Sale In State Life Housing Society,Added: 2 minutes ago
24,1.75 Crore,"State Life Housing Society, Lahore",3,4,5 Marla,5 Marla Owner Build Slightly Use House For Sale In State Life Housing Society:,Added: 2 minutes ago
25,7.65 Crore,"Askari 5 - Sector J, Askari 5",5,5,375 Sq. Yd.,CHANCE DEAL BRAND NEW Brigadier House In Sector J Is Available For Sale,Added: 1 hour ago
26,2.8 Crore,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3,3,200 Sq. Yd.,Stunning 200 Sq. yd. Furnished Villa for Sale in Bahria Town Karachi - Your Dream Home Awaits,Added: 1 hour ago
27,1.48 Crore,"Bahria Town - Precinct 27, Bahria Town Karachi",3,3,235 Sq. Yd.,"This Villa Is Located In Precinct-27, BAHRIA Town, Karachi",Added: 4 hours ago
28,1.7 Crore,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3,3,200 Sq. Yd.,A House Of 200 Square Yards In Bahria Town - Precinct 10-A,Added: 7 hours ago
29,1.4 Crore,"Bahria Town - Precinct 31, Bahria Town Karachi",3,3,235 Sq. Yd.,235 Square Yards House Up For Sale In Bahria Town Karachi Precinct 31,Added: 20 hours ago
30,2.5 Crore,"Scheme 33, Karachi",4,4,120 Sq. Yd.,Good Prime Location 120 Square Yards House For sale In Scheme 33,Added: 2 hours ago
31,4.76 Crore,"Gwalior Cooperative Housing Society, Scheme 33",6,6,240 Sq. Yd.,House For Sale Brand New Ground Plus One 240 Square Yard,Added: 2 hours ago
32,19 Crore,"DHA Phase 6, DHA Defence",7,6,"1,000 Sq. Yd.",Chance Deal 1000 Square Yards 7 Bedrooms Bungalow Ground Plus One Is Available For Sale In DHA Phase 6 Kheyban e E Muslim Streets Between Hafiz And Shaheen,Added: 2 hours ago
33,9.5 Crore,"Falcon Complex New Malir, Malir",4,4,350 Sq. Yd.,"Prime Location House For sale In Rs. 95,000,000",Added: 2 hours ago
34,1.12 Crore,"Saima Villas, Karachi Motorway",3,3,120 Sq. Yd.,Saima highway villas,Added: 4 hours ago
35,1.4 Crore,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3,3,125 Sq. Yd.,"This Villa Is Located in Ali Block, BAHRIA Town, Karachi",Added: 50 minutes ago
36,2.1 Crore,"Bahria Sports City, Bahria Town Karachi",4,4,350 Sq. Yd.,"This Villa Is Located in Sports City, BAHRIA Town, Karachi",Added: 50 minutes ago
37,11 Crore,"DHA Phase 7, DHA Defence",5,6,500 Sq. Yd.,500 Sqyds 5 Bed Bungalow On Sale In Dha Phase 7,Added: 5 minutes ago
38,8 Crore,"Amir Khusro, Karachi",5,5,250 Sq. Yd.,Town House Of 2250 Square Feet Is Available For Sale,Added: 20 minutes ago
39,15 Crore,"DHA Phase 8, DHA Defence",7,6,500 Sq. Yd.,500 Yards Lavish Villa For Sale In Phase 8,Added: 1 hour ago
40,19 Crore,"DHA Phase 6, DHA Defence",7,6,"1,000 Sq. Yd.",Chance Deal 1000 Square Yards 7 Bedrooms Bungalow Ground Plus One Is Available For Sale In DHA Phase 6 Kheyaban e E Muslim Streets Between Hafiz And Shaheen,Added: 2 hours ago
41,7.25 Crore,"DHA Phase 5, DHA Defence",6,6,500 Sq. Yd.,Primely Located West Open Bungalow,Added: 2 hours ago
42,64 Lakh,"Waqar Twin Tower, Saadi Road",2,2,94 Sq. Yd.,Waqar Twin Tower,Added: 16 minutes ago
43,6.85 Crore,"DHA Phase 6, DHA Defence",4,4,300 Sq. Yd.,bungalow for sale dha phase 6,Added: 20 minutes ago
44,71.23 Lakh,"Bahria Town Karachi, Karachi",3,3,79 Sq. Yd.,Abul Qasim Villas on Easy Installments In Bahria,Added: 25 minutes ago
45,71.23 Lakh,"Bahria Town Karachi, Karachi",3,3,79 Sq. Yd.,3 Bed Luxury Villas on Easy Installments Abul Qasim Bazar,Added: 25 minutes ago
46,71.23 Lakh,"Bahria Town Karachi, Karachi",3,3,79 Sq. Yd.,3 Rooms Luxury Villas By AQ Builders in Bahria Town,Added: 26 minutes ago
47,71.23 Lakh,"Bahria Town Karachi, Karachi",3,3,79 Sq. Yd.,Luxury Villas in Bahria Precinct 18,Added: 26 minutes ago
48,71.23 Lakh,"Bahria Town Karachi, Karachi",3,3,79 Sq. Yd.,3 Bed Drawing + Lounge Corner Villas In Bahria Town,Added: 26 minutes ago
49,71.23 Lakh,"Bahria Town Karachi, Karachi",3,3,79 Sq. Yd.,3 Bed Luxury Villas In Bahria Precinct 18,Added: 26 minutes ago
50,12.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal,"Luxurious Living Redefined: One Kanal Designer House for Sale in DHA Phase 2, Islamabad",Added: 1 hour ago
51,1.7 Crore,"Bahria Enclave, Bahria Town",2,3,6.4 Marla,Royal Mall and Residency 2 Bed Apartment 1450 Square Feet on 4th Floor Sun facing Available for Sale,Added: 2 hours ago
52,12 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal,Very Beautiful 1 kanal House for Sale,Added: 3 hours ago
53,9.9 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal,Brand New One Kanal House For Sale at Prime Location,Added: 3 hours ago
54,20 Crore,"F-6, Islamabad",4,4,17.8 Marla,Semi Furnished House for Sale in F-6 Islamabad,Added: 3 hours ago
55,1.75 Crore,"Bahria Enclave - Sector H, Bahria Enclave",3,5,5 Marla,"5 Marla park facing Grey Structure Available For Sale 
Boulevard Category with back view open",Added: 2 hours ago
56,5.9 Crore,"G-13/2, G-13",5,6,8 Marla,200 Sq. yds Beautiful Sun Face House For Sale,Added: 4 hours ago
57,19.25 Crore,"I-8/3, I-8",6,6,14.2 Marla,I-8/3 House Sized 3200 Square Feet For Sale,Added: 4 hours ago
58,8.25 Crore,"G-13/4, G-13",6,6,10 Marla,Brand New Double Road Corner Extra Land House For Sale In G-13 Islamabad,Added: 6 hours ago
59,4 Crore,"Pakistan Town - Phase 1, Pakistan Town",6,6,12 Marla,House Available For sale In Pakistan Town - Phase 1,Added: 6 hours ago
60,8.75 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal,"Artistry and Comfort Combined: One Kanal Designer House for Sale in DHA Defense Phase 2, Islamabad",Added: 1 hour ago
61,9.85 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal,"Luxurious Living Redefined: One Kanal Designer House for Sale in DHA Phase 2, Islamabad",Added: 1 hour ago
62,12 Crore,"Bahria Enclave - Sector B1, Bahria Enclave",5,6,1 Kanal,A Super Luxurious Fully Furnished Kanal House for Sale in Bahria Enclave Islamabad,Added: 1 hour ago
63,1.45 Crore,"Oleander Sector - DHA Homes Block A, DHA Valley - Oleander Sector",3,2,8 Marla,8 Marla Villa With Keys Street No#85 All Dues Clear,Added: 1 hour ago
64,4 Crore,"D-12, Islamabad",4,5,4 Marla,Brand New House for sale,Added: 2 hours ago
65,1.4 Crore,"Bani Gala, Islamabad",3,4,5 Marla,New beautiful House,Added: 2 hours ago
66,2.9 Crore,"G-13, Islamabad",4,4,4 Marla,25x40 4 Marla used house for Sale G-13,Added: 2 hours ago
67,2.49 Crore,"Bahria Enclave - Sector H, Bahria Enclave",3,3,5 Marla,5 Marla Lavish Brand New House for Sale,Added: 12 minutes ago
68,9.9 Crore,"DHA Defence Phase 2, DHA Defence",6,6,,DHA Defence Phase 2 House For sale Sized 21 Marla,Added: 13 minutes ago
69,7.25 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal,Brand new 1 kanal house for sale,Added: 13 minutes ago
70,8.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,,Find Your Ideal House In Islamabad Under Rs. 85000000,Added: 14 minutes ago
71,12 Crore,"DHA Defence Phase 2, DHA Defence",5,5,,20 Marla House In DHA Defence Phase 2 For sale,Added: 14 minutes ago
72,13 Crore,"DHA Defence Phase 2, DHA Defence",5,5,,Get In Touch Now To Buy A 20 Marla House In DHA Defence Phase 2 Islamabad,Added: 14 minutes ago
73,12 Crore,"DHA Defence Phase 2, DHA Defence",6,6,,20 Marla House In DHA Defence Of Islamabad Is Available For sale,Added: 14 minutes ago
74,2.25 Crore,"Bahria Enclave - Sector N, Bahria Enclave",3,4,5 Marla,Bahria Enclave Islamabad Sector H 5 Marla Brand New House for Sale,Added: 34 minutes ago
75,9.5 Crore,"Bahria Town Phase 8, Bahria Town Rawalpindi",6,6,1 Kanal,kanal house for SALE in bahria town rawalpindi phase 8,Added: 26 minutes ago
76,1.95 Crore,"Bahria Town Phase 8, Bahria Town Rawalpindi",4,4,5 Marla,5 Marla Brand New House For Sale in Bahria town Phase 8,Added: 26 minutes ago
77,2.8 Crore,"Bahria Town Phase 8, Bahria Town Rawalpindi",5,5,7 Marla,7 marla brand new house for sale in bahria town phase 8,Added: 26 minutes ago
78,4.9 Crore,"Bahria Greens - Overseas Enclave, Bahria Town Phase 8",5,6,14 Marla,14 Marla Corner Villa With Lawn At Deadend Heighted Location,Added: 3 hours ago
79,3.7 Crore,"Bahria Greens - Overseas Enclave, Bahria Town Phase 8",5,6,12 Marla,12 Marla Front Open Back Lawn House,Added: 3 hours ago
80,3.25 Crore,"Bahria Town Phase 8 - Safari Valley, Bahria Town Phase 8",5,6,7 Marla,7 Marla Brand New Designer House For Sale,Added: 1 hour ago
81,3.7 Crore,"Bahria Town Phase 8, Bahria Town Rawalpindi",5,5,11 Marla,11 marla brand new park facing house for sale,Added: 1 hour ago
82,3.7 Crore,"Bahria Town Phase 8, Bahria Town Rawalpindi",5,6,10 Marla,10 marla brand new designer house for sale,Added: 1 hour ago
83,1.15 Crore,"Airport Housing Society - Sector 4, Airport Housing Society",3,4,,Ideally Located Prime Location House Of 5 Marla Is Available For sale In Rawalpindi,Added: 2 hours ago
84,4.8 Crore,"Bahria Town Phase 8 - Sector F-1, Bahria Town Phase 8",5,6,10 Marla,Prime Location House is Available For Sale,Added: 2 hours ago
85,2 Crore,"Bahria Town Phase 8, Bahria Town Rawalpindi",3,3,5 Marla,5 Marla Brand New House For Sale in Bahria town Phase 8,Added: 26 minutes ago
86,3.35 Crore,"Bahria Town Phase 8, Bahria Town Rawalpindi",5,6,10 Marla,10 Marla Designer Used House Is Available For Sale Bahria Town Phase 8 Rawalpindi,Added: 2 hours ago
87,13 Crore,"Bahria Greens - Overseas Enclave, Bahria Town Phase 8",5,5,1.4 Kanal,"Bahria Town, Phase 8, 28 Marla Brand New Designer House, Dream House Outstanding Location",Added: 1 hour ago
88,2.6 Crore,"Bahria Town Phase 8 - Safari Valley, Bahria Town Phase 8",5,5,7 Marla,7 marla brand new park facing house,Added: 1 hour ago
89,5.25 Crore,"Bahria Town Phase 8, Bahria Town Rawalpindi",5,6,17 Marla,"Bahria Town Phase 8, 17 Marla Furnished House, Perfectly Constructed, Outclass Location, Near To Park Masjid, Filter Plant Market School Etc",Added: 1 hour ago
90,2.1 Crore,"Bahria Town Phase 8 - Block M, Bahria Town Phase 8",3,4,5 Marla,5 marla beautiful house for sale,Added: 1 hour ago
91,1.85 Crore,"Bahria Town Phase 8 - Safari Valley, Bahria Town Phase 8",4,4,5 Marla,"Bahria town phase 8, 5 Marla designer house 4 beds with attached baths outstanding location on investor rate",Added: 1 hour ago
92,4.49 Crore,"Bahria Greens - Overseas Enclave, Bahria Town Phase 8",5,6,12 Marla,Back Lawn Designer Villa At Vip Location,Added: 16 minutes ago
93,4 Crore,"Bahria Town Phase 8, Bahria Town Rawalpindi",5,6,13 Marla,Back Open Royal Design Villa At Peaceful Location,Added: 16 minutes ago
94,3.95 Crore,"Bahria Town Phase 8, Bahria Town Rawalpindi",5,6,10.9 Marla,Decent Villa At Reasonable Price,Added: 17 minutes ago
95,12 Crore,"Bahria Town Phase 3, Bahria Town Rawalpindi",6,6,1.2 Kanal,1 Kanal And 5 Marla Luxury House In Bahria Town,Added: 30 minutes ago
96,3.5 Crore,"Bahria Town Phase 8, Bahria Town Rawalpindi",5,6,11 Marla,11 Marla Beautiful House In Bahria Town,Added: 30 minutes ago
97,4.75 Crore,"Bahria Greens - Overseas Enclave, Bahria Town Phase 8",5,6,11 Marla,Beautiful 11 Marla House In Bahria Greens,Added: 31 minutes ago
98,2 Crore,"Bahria Town Phase 8, Bahria Town Rawalpindi",3,4,5 Marla,5 Marla Modern House in Bahria Town Phase 8 for Sale at Top Location,Added: 35 minutes ago
99,2.8 Crore,"Bahria Town Phase 8 - Usman Block, Bahria Town Phase 8 - Safari Valley",5,6,7 Marla,"7 Marla Brand New House for Sale in Bahria Town, Phase-8",Added: 37 minutes ago
100,6.25 Crore,"Wapda Town Phase 2, Wapda Town",6,6,1 Kanal,1 Kanal Brand New House Available For Sale,Added: 3 days ago
101,3.2 Crore,"Wapda Town Phase 2, Wapda Town",5,6,10 Marla,10 Marla Brand New Luxury Designer House For Sale,Added: 3 days ago
102,4.5 Crore,"DHA Phase 1, DHA Defence",5,6,1 Kanal,A Spacious Prime Location 20 Marla House In DHA Phase 1,Added: 5 days ago
103,1.4 Crore,"Buch Executive Villas, Multan",3,4,5 Marla,5 Marla House Available For Sale,Added: 1 week ago
104,10.5 Crore,"Wapda Town Phase 1 - Block E, Wapda Town Phase 1",8,6,1 Kanal,"Corner Furnished House For sale In Rs. 105,000,000",Added: 1 week ago
105,3.3 Crore,"Buch Executive Villas, Multan",5,6,9 Marla,Buy A Centrally Located Facing Park 9 Marla House In Buch Executive Villas,Added: 8 hours ago
106,3 Crore,"Buch Executive Villas, Multan",5,6,10 Marla,Buy A Facing Park House Of 10 Marla In Buch Executive Villas,Added: 8 hours ago
107,1.5 Crore,"Buch Executive Villas, Multan",3,4,5 Marla,5 Marla Brand New Ultra Modern Tripple Story House Available For Sale At Prime,Added: 18 hours ago
108,65 Lakh,"Nawab City, Nawabpur Road",,,,Double Storey 3 Marla House For sale In Nawab City Multan,Added: 1 day ago
109,95 Lakh,"Nawab City, Nawabpur Road",,,,Tripple Storey 4 Marla House For sale In Nawab City Multan,Added: 1 day ago
110,6 Crore,"Wapda Town Phase 2, Wapda Town",5,6,1 Kanal,Brand new Modern 1 kanal house available for sale,Added: 6 hours ago
111,3.25 Crore,"Buch Executive Villas, Multan",5,6,10 Marla,10 Marla Brand New Beautiful House Available For Sale Near to Main boaluvard Available For Sale in Buch Executive villas,Added: 17 hours ago
112,1.45 Crore,"Buch Executive Villas, Multan",3,4,5 Marla,5 Marla Brand New Ultra Modern Tripple Story House Available For Sale,Added: 18 hours ago
113,3.1 Crore,"Buch Executive Villas, Multan",6,6,10 Marla,10 Marla Luxurious Triple Story Corner House Available For Sale At Prime Location,Added: 18 hours ago
114,1.95 Crore,"Buch Executive Villas, Multan",5,5,7.5 Marla,7.5 Marla Beautiful House Available For Sale At Prime Location,Added: 1 day ago
115,1.5 Crore,"Buch Executive Villas, Multan",3,4,4.5 Marla,4.5 Marla Brand New Ultra Modern Tripple Story Corner House Available For Sale At Prime Location,Added: 1 day ago
116,1.45 Crore,"Buch Executive Villas, Multan",3,4,5 Marla,5 Marla Brand New Ultra Modern Tripple Story Spanish House Available For Sale At Prime Location,Added: 1 day ago
117,2.5 Crore,"Wapda Town Phase 2 - Block R, Wapda Town Phase 2",5,6,10 Marla,10 Mrla investor rate House For Sale in Wapda Town Multan,Added: 7 hours ago
118,2.1 Crore,"Wapda Town, Multan",4,5,7 Marla,7 Marla Designer House For Sale In Multan Wapda Town,Added: 7 hours ago
119,3.65 Crore,"Royal Orchard - Block C, Royal Orchard",5,6,10 Marla,10 Mrla House For Sale in Multan Royal Orchard Park Facing,Added: 7 hours ago
120,3.25 Crore,"Royal Orchard - Block G, Royal Orchard",5,6,10 Marla,10 Mrla Designer House For Sale in Multan Royal Orchard,Added: 7 hours ago
121,3 Crore,"Royal Orchard - Block C, Royal Orchard",4,5,10 Marla,10 Mrla Park Facing House For Sale in Royal Orchard Multan,Added: 8 hours ago
122,3.55 Crore,"Wapda Town Phase 1 - Block D, Wapda Town Phase 1",5,6,10 Marla,10 Mrla Corner Spanish House For Sale In Wapda Town Ph 1 D Block,Added: 8 hours ago
123,90 Lakh,"Northern Bypass, Multan",,,4 Marla,Ready To sale A House 4 Marla In Northern Bypass Northern Bypass,Added: 8 hours ago
124,3.5 Crore,"Buch Executive Villas, Multan",5,6,9 Marla,Highly-Desirable 9 Marla House Available In Buch Executive Villas,Added: 8 hours ago
125,1.9 Crore,"Citi Housing Society, Gujranwala",4,5,5 Marla,Modern House 5 Marla With Classy Interior Available For Sale In Phase 1 Block DD In City Housing GRW,Added: 1 week ago
126,1.3 Crore,"Citi Housing Society, Gujranwala",3,4,5 Marla,5 Marla House For Sale In Citi Housing,Added: 1 week ago
127,3.8 Crore,"Citi Housing Society, Gujranwala",6,6,10 Marla,Modern Spanish House 10 Marla With Classy Interior Available For Sale In Phase 1,Added: 1 week ago
128,1.65 Crore,"Citi Housing Society, Gujranwala",4,5,5 Marla,Brand New House 5 Marla In FF Block Available For Sale In Phase Wafi City,Added: 1 week ago
129,1.8 Crore,"Citi Housing Society, Gujranwala",4,5,5 Marla,New Spanish House 5 Marla In EE Block Available For Sale In Phase Wafi Citi,Added: 2 weeks ago
130,3.3 Crore,"Citi Housing Society, Gujranwala",6,6,10 Marla,Get In Touch Now To Buy A House In Citi Housing Society Citi Housing Society,Added: 1 day ago
131,4.5 Crore,"Citi Housing Society, Gujranwala",5,6,10 Marla,Fully Furnished 10 Marla House For sale In Citi Housing Society Citi Housing Society,Added: 1 day ago
132,3.9 Crore,"Citi Housing Phase 2 - Block E, Citi Housing - Phase 2",6,6,10 Marla,You Can Find A Gorgeous House For sale In Citi Housing Phase 2 - Block E,Added: 5 days ago
133,2.9 Crore,"Canal View Housing Scheme, Gujranwala",5,6,10 Marla,"A House Of 10 Marla In Rs. 29,000,000",Added: 5 days ago
134,2 Crore,"Citi Housing Society, Gujranwala",4,5,5.5 Marla,Corner House For sale In Beautiful Citi Housing Society,Added: 1 week ago
135,1.35 Crore,"Citi Housing Society, Gujranwala",4,5,5 Marla,A Stunning Prime Location House Is Up For Grabs In Citi Housing Society Citi Housing Society,Added: 10 hours ago
136,2.25 Crore,"Citi Housing Society, Gujranwala",6,6,10 Marla,House For sale Situated In Citi Housing Society,Added: 10 hours ago
137,1.25 Crore,"DHA Defence, Gujranwala",4,5,,Prime Location A Centrally Located House Is Available For sale In DHA Defence,Added: 2 hours ago
138,2.25 Crore,"DHA Defence, Gujranwala",5,6,,Prime Location House For sale In DHA Defence,Added: 2 hours ago
139,1.75 Crore,"Citi Housing Society, Gujranwala",4,5,5 Marla,"5 Marla House For sale In Rs. 17,500,000 Only",Added: 20 hours ago
140,1.95 Crore,"Peoples Colony, Gujranwala",5,6,7 Marla,7 Marla Used House for sale in Y block people Colony Gujranwala,Added: 2 days ago
141,1.35 Crore,"Citi Housing Society, Gujranwala",4,5,5 Marla,Ideal House Is Available For sale In Citi Housing Society,Added: 2 days ago
142,2 Crore,"Citi Housing Society, Gujranwala",4,5,5 Marla,Brand New House 5 Marla Available For Sale In DD Block Phase 1 Citi Housing,Added: 2 hours ago
143,1.9 Crore,"Citi Housing Society, Gujranwala",4,5,5 Marla,New Lavish Corner House 5 Marla Available For Sale In DD Block Prime Loc,Added: 2 hours ago
144,2 Crore,"Citi Housing Society, Gujranwala",4,5,5 Marla,This Is Your Chance To Buy House In Citi Housing Society,Added: 3 hours ago
145,1.35 Crore,"Citi Housing Society, Gujranwala",4,5,5 Marla,5 Marla House In Central Citi Housing Society For sale,Added: 4 hours ago
146,1.5 Crore,"Citi Housing Society, Gujranwala",4,5,5 Marla,New Modern House 5 Marla In FF Ext Block Available For Sale In Phase 3 Citi Housing,Added: 4 hours ago
147,1.75 Crore,"Citi Housing Society, Gujranwala",4,5,5 Marla,New Modern House 5 Marla In DD Block Available For Sale In Phase 1 Citi Housing,Added: 4 hours ago
148,1.75 Crore,"Citi Housing Society, Gujranwala",4,5,5 Marla,New Modern House 5 Marla In DD Block Available For Sale In Phase 1 Citi Housing,Added: 4 hours ago
149,2 Crore,"Citi Housing Society, Gujranwala",4,5,5 Marla,New Spanish House 5 Marla In DD Block Facing Park Available For Sale Phase 1,Added: 4 hours ago
150,3.8 Crore,"Hayatabad Phase 7 - E5, Hayatabad Phase 7",,,5 Marla,In Hayatabad Phase 7 - E5 House Sized 5 Marla For sale,Added: 3 hours ago
151,3.7 Crore,"Hayatabad Phase 1 - D4, Hayatabad Phase 1",,,5 Marla,5 Marla House Is Available For sale In Hayatabad Phase 1 - D4,Added: 3 hours ago
152,3.7 Crore,"Hayatabad Phase 1 - D4, Hayatabad Phase 1",,,5 Marla,"5 Marla House For sale In Rs. 37,000,000 Only",Added: 3 hours ago
153,11 Crore,"Hayatabad Phase 6 - F7, Hayatabad Phase 6",14,10,1 Kanal,1 Kanal House In Hayatabad Phase 6 - F7 For sale,Added: 2 weeks ago
154,2.39 Crore,"Regi Model Town Phase 3, Regi Model Town",8,6,5 Marla,Brand New Luxurious House | South facing | Sector 3C1 | own YOUR Dream House Now,Added: 4 weeks ago
